ID,Model,Source,Price,Rating,Reviews,URL,Scraped_At
1,iPhone 15,Amazon,118428.23,4.8,Absolutely love the storage.,https://www.amazon.in/dp/yg74010297,6/21/2025 15:05
2,iPhone 16,Flipkart,132321.32,4.4,"Nice screen clarity, works well for gaming.",https://www.flipkart.com/apple-iphone-16/p/itmdoQfrRoO,8/2/2025 22:30
3,iPhone 17,Amazon,94609.35,4.1,"Nice overall experience, works well for daily use.",https://www.amazon.in/dp/us77719660,10/9/2025 23:07
4,iPhone 15,Amazon,97246.63,4.4,Good phone with incredible build quality.,https://www.amazon.in/dp/Lp85891897,9/5/2025 14:48
5,iPhone 16,Flipkart,94431.94,4.6,Best phone for multimedia.,https://www.flipkart.com/apple-iphone-16/p/itmPEasLlzL,10/5/2025 1:45
6,iPhone 17,Amazon,122879.97,4.2,Great design and good for travel.,https://www.amazon.in/gp/product/Xd24536062,8/14/2025 6:47
7,iPhone 15,Amazon,162380.25,3.9,"Decent for social media, functionality is good.",https://www.amazon.in/Apple-iPhone-15/dp/LL92881900,5/18/2025 6:27
8,iPhone 16,Amazon,116861.79,4.3,Satisfied with the durability.,https://www.amazon.in/gp/product/XR30419935,7/1/2025 20:39
9,iPhone 17,Amazon,138091.16,4,"Nice build quality, works well for photography.",https://www.amazon.in/gp/product/ha31866162,5/27/2025 8:44
10,iPhone 15,Amazon,109875.41,4.5,Highly recommend for daily use.,https://www.amazon.in/Apple-iPhone-15/dp/xh11115886,7/27/2025 21:45
11,iPhone 16,Amazon,148424.59,4.4,Great design and good for family use.,https://www.amazon.in/gp/product/He60368025,9/16/2025 19:58
12,iPhone 17,Flipkart,124539.69,3.8,Good responsiveness but software updates could be better.,https://www.flipkart.com/apple-iphone-17-smartphone/p/itmIRGuQqaB,9/29/2025 13:34
13,iPhone 15,Amazon,126578.65,4.7,Best phone for business.,https://www.amazon.in/Apple-iPhone-15/dp/vm04100694,5/7/2025 9:25
14,iPhone 16,Flipkart,77443.07,4.2,"Nice connectivity, works well for daily use.",https://www.flipkart.com/apple-iphone-16/p/itmhXoyaccQ,7/7/2025 19:10
